customer_age,order_amount,previous_orders,previous_returns,previous_refunds,delivery_days,discount_percentage,customer_account_age_days,orders_last_30_days,returns_last_90_days,return_rate,refund_rate,payment_method,product_category,return_risk
36,1573.24,4,1,1,5,23.21,67,2,1,0.2596,0.256,Debit Card,Home,1
37,1339.82,8,1,0,4,6.25,458,0,0,0.0848,0.0325,UPI,Fashion,1
40,1360.52,3,2,2,5,16.22,238,6,3,0.5355,0.5736,Net Banking,Home,1
18,2458.62,8,4,2,4,12.52,75,4,2,0.4312,0.2477,Cash on Delivery,Home,1
38,1111.53,5,0,0,2,14.18,612,1,0,0.0568,0.0753,UPI,Electronics,0
24,1414.68,6,5,0,4,9.11,198,4,1,0.5916,0.0568,Net Banking,Beauty,1
49,576.7,7,0,0,3,24.08,1128,3,1,0.1038,0.0287,Credit Card,Fashion,1
32,1971.81,8,0,0,2,3.01,510,2,1,0.0914,0.0128,UPI,Electronics,0
38,930.11,10,1,1,3,8.28,1186,0,2,0.2866,0.1151,Credit Card,Electronics,0
26,1094.98,6,0,0,1,14.57,793,3,1,0.0965,0.0686,Cash on Delivery,Fashion,0
31,3531.36,11,1,1,3,11.86,791,1,0,0.0633,0.0821,Credit Card,Accessories,0
20,641.76,7,0,0,7,24.03,1129,1,1,0.0904,0.0484,Debit Card,Home,0
29,731.26,5,2,1,6,39.72,454,5,6,0.4591,0.2032,Credit Card,Fashion,0
32,1548.57,5,0,0,2,4.26,391,4,0,0.0733,0.0618,UPI,Grocery,0
31,948.01,13,0,0,3,4.09,660,1,0,0.0136,0.0226,Credit Card,Fashion,0
37,2207.62,8,0,0,2,14.03,739,2,0,0.0606,0.0648,UPI,Electronics,0
28,2648.51,7,1,0,3,1.85,1100,3,1,0.186,0.0246,Credit Card,Electronics,0
22,2125.84,8,2,1,6,28.58,658,2,3,0.3456,0.1555,UPI,Electronics,1
35,1144.84,12,1,0,2,26.31,1431,1,1,0.1496,0.0392,UPI,Electronics,0
22,1086.97,5,2,0,3,19.96,642,6,1,0.2999,0.0522,UPI,Accessories,0
31,511.98,14,2,0,1,11.3,370,5,0,0.1055,0.0187,Credit Card,Grocery,0
31,860.25,6,0,0,2,24.26,797,4,0,0.0506,0.0464,Cash on Delivery,Home,0
35,367.92,10,0,0,2,12.55,352,1,0,0.0288,0.0381,Cash on Delivery,Fashion,0
33,5022.85,4,0,0,3,30.47,142,6,3,0.1545,0.079,Net Banking,Beauty,1
34,1314.39,4,1,0,4,21.64,793,1,1,0.2931,0.0744,Credit Card,Home,1
41,1174.05,8,0,0,2,39.1,1018,2,1,0.107,0.0472,Cash on Delivery,Electronics,0
33,409.81,5,0,0,3,10.5,613,1,0,0.0948,0.0504,UPI,Beauty,1
31,1213.89,6,0,0,2,19.46,1471,3,2,0.1204,0.0,UPI,Beauty,0
32,768.01,9,1,1,2,0.18,1025,3,0,0.1028,0.1368,Credit Card,Fashion,0
28,1311.23,4,0,0,6,4.97,982,3,1,0.0662,0.0529,Net Banking,Fashion,0
42,2004.7,4,0,0,1,14.35,105,3,2,0.1786,0.0553,Credit Card,Beauty,0
31,1290.09,3,0,0,3,10.9,855,1,0,0.0711,0.076,UPI,Fashion,0
52,752.17,6,2,0,4,4.33,1119,4,1,0.3015,0.0382,Cash on Delivery,Electronics,0
26,1746.68,4,0,0,5,19.5,1534,2,1,0.1233,0.081,Debit Card,Home,0
31,2264.46,8,0,0,4,14.49,885,2,0,0.0272,0.0626,Debit Card,Electronics,0
31,3034.96,10,1,1,4,19.56,633,2,0,0.0843,0.0693,Credit Card,Accessories,0
32,1338.09,8,1,0,3,12.99,2452,3,0,0.1358,0.0343,UPI,Fashion,1
31,791.22,12,3,1,1,10.92,872,3,0,0.2011,0.0859,UPI,Home,1
18,3633.29,4,0,0,2,58.31,102,2,1,0.1115,0.075,UPI,Home,0
37,1076.7,12,1,1,7,11.3,735,4,1,0.1471,0.0947,Credit Card,Home,0
19,1489.8,7,0,0,3,8.37,1088,5,0,0.0,0.0688,Cash on Delivery,Fashion,0
43,3658.02,9,0,0,6,1.49,239,2,0,0.0672,0.0286,Net Banking,Accessories,1
40,3900.69,11,0,0,4,8.5,354,2,0,0.0117,0.017,Cash on Delivery,Fashion,0
23,1015.04,14,1,0,1,7.73,201,4,1,0.132,0.0185,UPI,Accessories,0
18,2655.91,6,0,0,3,4.58,232,1,0,0.0329,0.0368,UPI,Electronics,0
25,1674.58,5,0,0,4,25.94,438,3,1,0.1474,0.0224,Debit Card,Electronics,0
32,754.48,5,0,0,4,2.51,613,0,0,0.0947,0.057,UPI,Home,0
57,787.23,15,0,0,1,13.22,596,1,1,0.0561,0.0367,Net Banking,Fashion,0
39,2908.96,7,1,0,4,15.36,747,0,0,0.1651,0.0467,Credit Card,Home,0
18,1714.47,5,1,0,3,11.32,952,3,2,0.2755,0.0728,Cash on Delivery,Grocery,0
28,1321.54,5,0,0,3,3.06,627,1,0,0.0552,0.0637,UPI,Electronics,0
34,1047.05,7,0,0,4,8.36,970,1,0,0.0396,0.0655,Cash on Delivery,Fashion,0
36,1114.76,8,0,0,2,18.08,1526,4,0,0.0324,0.047,Credit Card,Electronics,0
22,1874.82,6,0,0,2,7.77,2116,1,2,0.1835,0.0353,Net Banking,Home,0
28,2206.99,8,2,2,5,22.95,342,6,1,0.2483,0.2554,Credit Card,Beauty,1
33,759.5,5,1,0,3,5.2,1668,3,0,0.2053,0.0403,Cash on Delivery,Electronics,1
28,1096.65,7,0,0,4,26.77,1966,3,1,0.0992,0.0509,UPI,Accessories,0
24,2123.64,11,0,0,3,15.66,757,3,1,0.1066,0.0139,Credit Card,Fashion,0
36,1079.16,6,2,0,4,7.46,256,1,0,0.2419,0.0534,Net Banking,Accessories,0
41,1118.26,9,0,0,3,15.19,719,1,0,0.0344,0.045,Net Banking,Grocery,0
42,651.02,10,0,0,4,9.7,413,1,1,0.0987,0.0566,Credit Card,Electronics,1
39,1528.08,4,0,0,5,12.82,762,4,3,0.2151,0.0914,Credit Card,Beauty,0
33,1274.98,4,0,0,4,36.0,1211,3,0,0.0408,0.0653,Cash on Delivery,Beauty,0
35,2161.93,6,1,1,3,31.97,138,1,3,0.3314,0.1963,Debit Card,Fashion,0
30,1515.11,9,1,0,3,11.59,351,2,0,0.123,0.0,Credit Card,Home,0
32,1861.91,6,1,1,1,19.74,614,4,2,0.2437,0.1663,UPI,Accessories,0
43,950.84,3,0,0,4,24.93,168,4,1,0.1278,0.0719,UPI,Grocery,1
40,1930.9,7,0,0,4,6.79,844,2,0,0.0393,0.0348,Cash on Delivery,Fashion,0
29,1539.03,6,2,1,4,49.2,87,5,3,0.3964,0.1798,Cash on Delivery,Beauty,1
37,1031.1,7,1,0,4,24.37,494,1,0,0.1626,0.0567,UPI,Electronics,0
39,798.28,5,0,0,8,34.94,56,6,2,0.1508,0.0382,UPI,Electronics,1
24,667.41,3,1,1,5,26.14,242,7,1,0.2788,0.3094,Credit Card,Electronics,1
35,712.61,10,0,0,3,1.82,492,1,3,0.2007,0.0196,Credit Card,Home,0
28,800.21,13,0,0,3,8.27,1431,5,0,0.0204,0.0302,Credit Card,Beauty,1
30,780.69,6,0,0,1,20.14,858,2,1,0.1074,0.0093,UPI,Grocery,0
35,954.17,11,0,0,2,12.15,788,3,0,0.0003,0.0169,UPI,Electronics,0
29,3363.13,4,2,0,6,21.33,270,2,3,0.5121,0.0659,Credit Card,Home,0
19,1047.39,7,4,3,7,36.15,534,4,3,0.5431,0.3941,Cash on Delivery,Home,1
56,707.3,8,0,0,3,4.03,1241,1,0,0.0684,0.0226,UPI,Electronics,0
37,1364.07,12,0,0,3,13.48,960,3,0,0.0,0.0316,UPI,Electronics,0
28,1462.59,6,0,0,5,15.37,1228,2,0,0.0719,0.0666,Credit Card,Grocery,0
27,3555.43,10,0,0,2,8.59,727,2,1,0.1067,0.0165,Credit Card,Beauty,0
30,1472.02,11,2,0,4,2.4,1186,1,1,0.1838,0.023,Net Banking,Electronics,0
54,1480.99,9,4,1,3,2.23,270,4,1,0.3795,0.1045,UPI,Beauty,0
36,1707.81,2,2,0,5,32.04,1427,4,2,0.6686,0.0774,Cash on Delivery,Grocery,0
30,955.53,5,1,0,3,18.11,719,1,1,0.264,0.0259,Credit Card,Beauty,0
42,1651.68,12,1,0,3,7.19,919,5,0,0.0334,0.0129,Credit Card,Electronics,0
31,2053.44,11,0,0,3,14.41,612,2,2,0.1606,0.0286,UPI,Grocery,0
36,932.81,8,0,0,2,13.24,735,1,0,0.03,0.038,Credit Card,Electronics,0
28,875.63,3,0,0,1,24.2,419,5,2,0.1355,0.0821,Cash on Delivery,Grocery,0
32,1527.34,3,0,0,3,13.62,805,6,2,0.1367,0.0659,UPI,Fashion,1
41,2274.07,13,2,1,3,3.6,1266,2,1,0.2102,0.1115,Credit Card,Home,1
29,581.86,7,0,0,4,34.11,1287,3,0,0.0203,0.0561,Credit Card,Beauty,0
28,1395.25,10,1,1,3,18.28,917,3,0,0.1216,0.1135,Net Banking,Fashion,0
49,447.55,9,0,0,4,11.18,1569,1,3,0.2508,0.0508,UPI,Accessories,0
43,756.88,6,0,0,4,3.69,402,2,0,0.0546,0.063,Debit Card,Grocery,0
41,835.89,7,0,0,2,11.58,676,0,1,0.1533,0.0194,UPI,Home,0
41,2476.2,6,0,0,5,13.98,690,2,0,0.0679,0.0368,Cash on Delivery,Electronics,0
38,2191.96,8,0,0,3,20.57,1490,1,0,0.0333,0.014,Credit Card,Electronics,0
52,952.71,14,0,0,4,18.35,1026,1,0,0.0335,0.0159,Credit Card,Electronics,0
26,1345.82,4,0,0,4,40.07,405,3,2,0.1421,0.0695,Debit Card,Fashion,1
34,1267.88,13,1,1,2,15.49,1714,4,0,0.0879,0.0721,Debit Card,Fashion,0
39,861.4,13,0,0,4,13.87,280,1,0,0.0292,0.0152,Net Banking,Beauty,0
21,1065.17,8,0,0,2,24.47,932,3,1,0.1014,0.0256,Debit Card,Fashion,0
34,2898.8,5,1,0,3,16.74,301,5,3,0.2778,0.0278,Net Banking,Electronics,0
27,2648.66,5,1,0,4,22.76,797,1,1,0.2697,0.0664,UPI,Grocery,0
23,928.71,8,1,0,3,4.53,125,1,1,0.1657,0.0207,Net Banking,Home,0
45,591.54,8,1,1,3,4.09,486,2,0,0.1263,0.1544,UPI,Beauty,0
18,2326.5,15,2,0,4,26.3,405,3,2,0.1788,0.02,UPI,Accessories,0
30,2563.45,4,1,0,4,16.85,1019,5,1,0.2328,0.0627,UPI,Electronics,0
18,1002.72,8,1,0,5,2.55,1452,0,1,0.1831,0.1011,UPI,Fashion,0
27,1791.02,9,1,0,4,11.95,640,0,0,0.1192,0.0141,UPI,Home,0
30,1193.37,6,0,0,5,2.38,394,3,0,0.03,0.0505,UPI,Electronics,0
46,3226.33,10,1,0,3,17.76,346,6,0,0.1176,0.0588,UPI,Home,1
38,1242.6,9,0,0,3,12.64,1762,1,0,0.023,0.0285,UPI,Fashion,0
32,848.47,6,2,1,2,17.1,1695,5,2,0.3459,0.2143,Cash on Delivery,Electronics,1
27,1114.19,9,0,0,3,7.81,523,3,1,0.1273,0.0342,Credit Card,Fashion,0
44,426.11,4,0,0,3,25.52,72,3,0,0.1045,0.0374,Cash on Delivery,Accessories,0
34,1518.35,4,0,0,4,14.22,558,2,1,0.076,0.0663,UPI,Grocery,0
34,1264.74,11,0,0,2,10.73,274,3,0,0.0171,0.0539,Credit Card,Grocery,0
23,582.91,9,1,0,4,9.31,818,0,0,0.1362,0.0122,UPI,Beauty,0
25,1289.34,7,2,0,3,5.98,774,5,1,0.247,0.035,Debit Card,Grocery,0
27,1919.39,7,1,0,2,5.87,637,0,0,0.135,0.0358,Credit Card,Home,0
34,2328.89,10,0,0,4,16.98,305,3,2,0.1043,0.0205,UPI,Electronics,0
35,656.34,16,2,2,2,11.66,759,4,0,0.1072,0.1414,Net Banking,Electronics,0
48,3511.47,9,1,0,4,16.54,690,3,1,0.1555,0.0477,Credit Card,Beauty,0
37,2114.78,10,0,0,2,31.52,735,3,1,0.0968,0.0655,UPI,Home,0
18,1036.97,10,2,0,3,2.1,594,2,2,0.2928,0.0,UPI,Grocery,0
21,3506.93,5,3,0,4,34.09,77,3,1,0.4623,0.0598,Debit Card,Fashion,0
36,943.5,16,5,1,4,7.18,1142,2,0,0.2484,0.058,Cash on Delivery,Home,0
21,1352.38,8,0,0,3,14.26,1307,1,3,0.2768,0.0483,Debit Card,Home,0
25,1100.97,3,0,0,4,24.1,345,3,1,0.1372,0.0969,Credit Card,Grocery,0
22,416.69,7,3,0,5,28.56,367,3,1,0.3969,0.0346,UPI,Electronics,1
29,5985.31,5,2,0,4,16.12,427,4,3,0.4141,0.07,UPI,Electronics,0
27,1667.66,3,0,0,4,4.01,1099,0,0,0.1352,0.0852,Net Banking,Accessories,0
28,1880.92,7,0,0,3,10.04,1348,2,0,0.0733,0.0313,UPI,Electronics,0
34,2408.39,8,1,1,6,19.19,256,3,1,0.1609,0.1702,Cash on Delivery,Home,1
22,1230.08,11,5,0,5,34.13,2228,2,4,0.5843,0.0221,UPI,Beauty,1
36,1350.05,15,0,0,4,8.14,854,2,1,0.0754,0.0348,UPI,Home,1
21,4066.67,9,0,0,2,15.19,601,1,1,0.0971,0.0078,Credit Card,Fashion,1
37,808.88,8,1,0,4,10.35,1201,1,0,0.0935,0.0388,Cash on Delivery,Home,0
44,1372.85,3,0,0,5,30.39,578,4,2,0.1357,0.0952,UPI,Grocery,1
31,1920.33,3,0,0,5,15.73,213,7,1,0.1232,0.0688,UPI,Electronics,0
54,2451.76,7,0,0,3,23.04,607,4,1,0.0524,0.0415,Credit Card,Fashion,0
22,1039.58,7,0,0,2,5.33,1388,3,1,0.0315,0.034,Credit Card,Beauty,1
31,2826.25,7,3,0,2,19.68,731,1,2,0.4642,0.0512,Cash on Delivery,Beauty,0
18,853.54,11,2,1,4,13.61,494,1,1,0.1995,0.1141,UPI,Electronics,0
37,1302.46,6,3,3,5,24.35,79,3,1,0.456,0.4568,UPI,Electronics,0
18,3870.49,7,2,2,3,37.43,197,5,2,0.2893,0.2903,UPI,Electronics,1
31,3333.22,10,0,0,3,5.49,825,6,0,0.0329,0.0365,UPI,Beauty,0
40,795.52,5,0,0,3,6.2,677,1,0,0.0816,0.0505,Cash on Delivery,Accessories,0
40,1527.83,7,0,0,3,11.81,642,1,0,0.0824,0.061,Net Banking,Beauty,0
35,1871.0,8,0,0,3,3.55,205,2,0,0.0581,0.0064,UPI,Electronics,0
45,773.0,5,1,1,6,16.81,703,10,3,0.2068,0.2352,Debit Card,Accessories,1
42,1609.32,9,1,1,3,10.99,1335,1,0,0.136,0.1274,UPI,Electronics,0
57,1802.25,8,0,0,3,2.76,1330,2,0,0.0667,0.0268,UPI,Home,0
49,1203.19,6,2,1,6,12.0,1002,4,0,0.2325,0.1912,UPI,Accessories,0
29,1059.76,12,0,0,3,2.12,1049,0,0,0.0295,0.0103,UPI,Fashion,0
21,900.09,7,0,0,3,13.47,443,4,2,0.1172,0.0568,UPI,Fashion,1
30,1984.15,8,1,0,1,4.36,132,1,1,0.2111,0.0,UPI,Fashion,1
25,1820.71,8,2,0,2,24.36,873,2,0,0.2,0.058,Credit Card,Beauty,0
38,1312.24,5,2,0,1,10.6,723,3,1,0.3681,0.027,Debit Card,Fashion,0
23,1542.52,6,0,0,5,15.21,862,1,1,0.1146,0.049,UPI,Beauty,0
33,2158.75,11,0,0,6,21.81,103,2,0,0.041,0.0211,Debit Card,Electronics,0
42,811.74,8,1,1,4,30.52,1120,1,0,0.1541,0.1506,UPI,Grocery,0
33,813.95,3,1,0,3,17.35,439,5,3,0.349,0.0247,Credit Card,Beauty,0
25,3749.18,7,0,0,4,10.43,383,3,1,0.0905,0.0311,UPI,Fashion,0
45,1136.17,8,1,0,4,20.73,1861,4,0,0.119,0.0462,Cash on Delivery,Grocery,0
18,2009.22,7,1,0,1,5.01,1624,3,0,0.1752,0.05,Net Banking,Electronics,0
34,601.74,3,0,0,3,39.03,309,7,3,0.1949,0.0805,Cash on Delivery,Electronics,1
31,2274.42,5,0,0,4,17.34,202,4,1,0.1116,0.0544,Debit Card,Grocery,0
34,3904.79,11,0,0,5,18.55,506,1,1,0.1127,0.0,UPI,Home,0
34,517.95,10,0,0,4,27.54,646,1,1,0.0991,0.0031,Credit Card,Home,0
36,839.73,6,1,0,2,5.44,1522,2,0,0.1157,0.0801,Debit Card,Fashion,0
39,2282.59,8,1,0,3,7.17,1168,3,2,0.227,0.0052,Net Banking,Electronics,0
34,1801.87,8,0,0,2,17.83,313,1,0,0.0046,0.0536,UPI,Accessories,1
29,1498.91,5,1,1,7,38.62,94,3,1,0.2261,0.2247,Cash on Delivery,Fashion,1
31,525.95,4,0,0,3,8.57,817,3,0,0.0386,0.0949,Debit Card,Electronics,0
28,2752.02,5,1,1,4,16.88,238,4,1,0.2544,0.2446,Credit Card,Beauty,1
30,966.83,3,0,0,2,15.26,648,5,1,0.1693,0.0524,Credit Card,Accessories,0
28,1492.17,6,0,0,1,3.48,660,3,4,0.2501,0.019,UPI,Home,1
41,2680.67,2,0,0,6,16.63,531,2,0,0.1017,0.0903,Credit Card,Fashion,0
28,1259.53,6,0,0,2,4.96,651,3,0,0.0826,0.0303,UPI,Beauty,0
42,1489.37,10,1,0,4,6.69,1100,3,1,0.1815,0.0119,Credit Card,Electronics,0
34,1111.37,9,2,1,4,8.61,697,6,0,0.1515,0.1236,Net Banking,Home,1
29,1801.69,8,1,0,5,11.99,736,0,0,0.1114,0.0235,UPI,Beauty,0
40,2479.62,6,1,0,2,15.85,1173,2,0,0.1349,0.0577,UPI,Home,0
27,849.4,8,0,0,3,5.58,970,1,0,0.0423,0.0128,UPI,Beauty,1
40,2323.93,9,1,0,3,3.87,1178,4,0,0.0887,0.0393,UPI,Fashion,0
36,1287.76,10,0,0,6,13.18,447,2,0,0.0141,0.0,Credit Card,Home,0
20,2366.15,5,3,1,2,7.26,660,8,2,0.5056,0.1882,Credit Card,Electronics,1
22,1648.24,10,4,3,1,21.72,126,3,1,0.3488,0.2814,Debit Card,Fashion,0
44,1145.34,4,1,1,3,22.93,113,4,3,0.335,0.2356,Credit Card,Grocery,1
29,657.79,3,0,0,3,14.17,782,1,0,0.0572,0.0993,Credit Card,Beauty,0
39,2973.86,10,0,0,5,5.95,768,0,0,0.0827,0.0111,Debit Card,Fashion,0
21,1148.73,5,1,1,5,12.43,258,2,9,0.6425,0.1894,UPI,Electronics,1
39,1025.53,7,1,0,5,24.27,703,1,0,0.1375,0.0073,Credit Card,Grocery,0
21,503.1,3,2,0,5,38.94,490,8,3,0.5173,0.069,Net Banking,Home,1
23,715.23,4,2,1,4,20.38,491,2,1,0.4462,0.1932,Net Banking,Grocery,1
19,1043.98,2,1,0,4,39.21,172,4,4,0.5195,0.0875,UPI,Home,1
44,1027.12,5,1,0,3,35.92,631,1,0,0.2303,0.0934,Credit Card,Grocery,0
43,771.48,4,0,0,5,11.72,1595,2,0,0.0174,0.0787,UPI,Home,0
29,2411.72,9,3,3,3,19.06,232,3,3,0.408,0.3335,UPI,Accessories,1
38,1224.03,9,0,0,3,9.57,592,2,1,0.1197,0.0,UPI,Electronics,0
24,1280.45,4,0,0,1,10.39,1386,1,0,0.0686,0.0393,Credit Card,Home,0
56,704.25,8,0,0,3,23.65,2001,3,2,0.1252,0.0172,Debit Card,Home,0
38,888.72,7,3,1,6,44.09,287,3,0,0.3672,0.1553,Debit Card,Home,0
21,1459.09,7,0,0,4,11.33,390,1,0,0.0694,0.0542,Cash on Delivery,Beauty,0
43,3269.94,8,0,0,4,25.31,307,3,2,0.1443,0.0,Credit Card,Electronics,0
38,2091.16,6,0,0,1,28.33,178,3,1,0.0717,0.0389,UPI,Fashion,0
23,1963.69,6,0,0,4,20.84,1375,4,0,0.0753,0.0326,Net Banking,Accessories,0
24,2253.94,6,2,2,6,15.64,27,4,4,0.4058,0.3276,Cash on Delivery,Fashion,1
33,782.41,5,0,0,2,23.49,1395,4,1,0.0799,0.0066,UPI,Electronics,0
33,1644.71,9,0,0,4,16.71,404,0,1,0.1653,0.0322,Net Banking,Accessories,0
18,2699.69,6,3,3,7,16.18,391,4,2,0.4647,0.4484,Net Banking,Electronics,1
46,5261.61,10,0,0,2,7.73,1189,3,2,0.1602,0.0,Cash on Delivery,Home,0
28,1905.8,11,2,0,5,1.69,483,1,0,0.1337,0.0189,Cash on Delivery,Fashion,1
32,3339.78,6,1,1,2,32.0,799,1,1,0.2196,0.1743,UPI,Grocery,0
18,1352.92,6,1,0,4,20.37,1327,1,0,0.1796,0.0399,Cash on Delivery,Fashion,0
50,665.61,5,0,0,1,3.05,975,4,2,0.1128,0.0181,Credit Card,Fashion,1
31,1112.4,7,3,2,5,13.87,299,8,0,0.3496,0.2925,UPI,Home,1
29,1572.56,3,1,1,7,38.85,597,5,6,0.4838,0.3001,Credit Card,Grocery,1
37,1786.09,6,0,0,5,33.28,268,5,1,0.106,0.0196,UPI,Accessories,1
25,1125.79,10,6,6,8,12.72,338,11,1,0.4246,0.5847,Credit Card,Beauty,1
24,1141.94,6,2,0,4,7.15,454,4,0,0.2191,0.0245,Credit Card,Accessories,0
37,1263.68,11,0,0,6,29.7,828,1,0,0.0211,0.0532,Credit Card,Electronics,0
33,689.05,7,0,0,1,2.83,624,2,0,0.0343,0.0527,Debit Card,Grocery,0
33,1138.49,6,0,0,3,11.47,1181,5,1,0.0645,0.0296,Credit Card,Electronics,0
41,1034.1,9,2,0,6,12.95,960,3,3,0.308,0.0411,UPI,Accessories,0
49,989.34,12,0,0,2,7.88,955,6,0,0.0239,0.0388,Credit Card,Fashion,0
27,2551.17,6,3,1,4,35.7,472,4,3,0.4937,0.169,Debit Card,Accessories,1
36,2443.56,6,1,0,2,18.72,436,1,1,0.2105,0.0424,Debit Card,Beauty,1
40,3190.43,16,1,0,4,21.93,428,1,0,0.063,0.0309,Net Banking,Electronics,0
37,806.08,3,0,0,4,26.17,860,3,1,0.113,0.0409,Credit Card,Accessories,0
43,973.86,6,0,0,2,26.6,1268,1,1,0.0989,0.0565,Debit Card,Accessories,0
30,1037.71,9,1,0,5,7.12,1768,2,0,0.1089,0.0397,UPI,Fashion,0
44,1921.24,6,0,0,2,6.64,235,1,0,0.0777,0.043,Debit Card,Accessories,0
44,1916.86,5,0,0,5,20.08,803,2,1,0.1226,0.0905,UPI,Home,0
44,365.49,7,0,0,3,6.47,1331,1,0,0.0655,0.03,Cash on Delivery,Grocery,0
28,1998.35,8,0,0,4,7.8,1121,0,2,0.2101,0.0,UPI,Grocery,1
32,507.28,4,0,0,5,11.39,939,1,0,0.0522,0.0624,UPI,Home,1
36,1034.86,7,1,0,3,10.84,1319,2,0,0.1297,0.0249,UPI,Accessories,0
28,2263.84,6,2,0,3,26.19,166,6,3,0.3658,0.0639,Credit Card,Beauty,1
